Date,AAPL,AMGN,AMZN,BRK-B,C,COST,DHR,GE,GOOGL,IBM,JNJ,KO,LLY,MA,MCD,META,MSFT,NVDA,PEP,PG,RTX,SO,TSLA,UNH,USB,WFC,WMT,AMD,DIS,NFLX
2023-06-13,181.93063354492188,212.07977294921875,126.66000366210938,336.3900146484375,45.80916976928711,505.5646667480469,212.4947967529297,84.59037017822266,123.52413177490234,129.8162078857422,153.45533752441406,57.7352294921875,441.0675964355469,368.1771545410156,280.2228698730469,270.50555419921875,330.4371032714844,41.0062141418457,174.8322296142578,139.7680206298828,96.02021789550781,66.58258819580078,258.7099914550781,480.0932312011719,30.311494827270508,40.8649787902832,50.89622497558594,124.52999877929688,93.11553955078125,435.7300109863281
2023-06-14,182.56585693359375,212.35682678222656,126.41999816894531,335.8999938964844,45.38580322265625,510.5813293457031,210.01112365722656,82.97368621826172,123.3645248413086,129.43885803222656,154.23814392089844,58.12681198120117,443.0467529296875,371.5280456542969,280.1160888671875,272.5294494628906,333.451904296875,42.98045349121094,176.40203857421875,141.0784149169922,93.29439544677734,66.61094665527344,256.7900085449219,449.3612365722656,29.755319595336914,40.31883239746094,51.410762786865234,127.33000183105469,91.72649383544922,440.8599853515625
2023-06-15,184.61033630371094,218.24183654785156,127.11000061035156,339.82000732421875,45.68687057495117,512.4988403320312,214.46762084960938,83.5363540649414,124.78101348876953,130.57093811035156,156.309814453125,58.925575256347656,449.19189453125,375.7711181640625,284.16571044921875,280.9839782714844,344.087890625,42.63658905029297,178.8481903076172,143.03436279296875,94.39242553710938,66.87557983398438,255.89999389648438,457.1224060058594,30.8583984375,40.58711242675781,51.69260787963867,124.23999786376953,92.21266174316406,445.2699890136719
2023-06-16,183.52853393554688,219.40736389160156,125.48999786376953,338.30999755859375,45.33876037597656,507.1430969238281,212.96160888671875,84.23375701904297,123.22486877441406,129.70298767089844,156.78717041015625,59.3490104675293,443.0368347167969,373.28271484375,285.22430419921875,280.156494140625,338.3843688964844,42.67557144165039,179.16598510742188,144.08457946777344,94.1419906616211,67.82067108154297,260.5400085449219,449.8616638183594,31.0067138671875,40.414642333984375,50.97161102294922,120.08000183105469,90.60533905029297,431.9599914550781
2023-06-20,183.6178741455078,218.38510131835938,125.77999877929688,338.6700134277344,44.79307174682617,503.3177490234375,208.3817596435547,82.4347915649414,122.79593658447266,128.26898193359375,156.69168090820312,58.95444107055664,447.2325744628906,371.3892517089844,284.5833740234375,283.4764709472656,334.1536865234375,43.7911376953125,178.46298217773438,142.75494384765625,94.10346221923828,66.47862243652344,274.45001220703125,460.5565490722656,31.127220153808594,40.13678741455078,50.52261734008789,118.93000030517578,89.04762268066406,434.70001220703125
2023-06-21,182.57577514648438,216.90432739257812,124.83000183105469,338.6099853515625,44.604915618896484,503.2401428222656,209.35935974121094,83.25105285644531,120.25223541259766,126.12738037109375,156.45303344726562,59.11804962158203,448.2716369628906,372.8961486816406,286.0206298828125,280.7945861816406,329.7154541015625,43.02843475341797,178.57852172851562,143.98825073242188,95.42302703857422,67.70726776123047,259.4599914550781,467.77801513671875,30.988174438476562,39.906829833984375,50.62093734741211,112.11000061035156,87.9463119506836,424.45001220703125
2023-06-22,185.5928955078125,219.40736389160156,130.14999389648438,336.9599914550781,43.871063232421875,507.6759033203125,208.18798828125,83.06878662109375,122.84580993652344,123.74993896484375,158.11415100097656,59.522239685058594,452.9027404785156,374.5417785644531,284.8358154296875,284.02484130859375,335.7945861816406,43.008445739746094,180.42759704589844,144.47962951660156,93.35218048095703,67.38591766357422,264.6099853515625,470.0347595214844,29.875825881958008,39.341522216796875,51.04370880126953,110.69999694824219,87.7974853515625,422.4800109863281
2023-06-23,185.2752685546875,216.97117614746094,129.3300018310547,335.25,43.29715347290039,507.9082946777344,209.7733154296875,82.2446060180664,122.03781127929688,122.10836029052734,157.98049926757812,58.896705627441406,454.0506896972656,376.53448486328125,281.5436706542969,287.86328125,331.1586608886719,42.19275665283203,179.1949005126953,143.04400634765625,93.3425521850586,66.58258819580078,256.6000061035156,468.0233154296875,29.551389694213867,38.91035461425781,50.948665618896484,110.01000213623047,87.41053771972656,424.0199890136719
2023-06-26,183.8759002685547,214.69744873046875,127.33000183105469,334.1199951171875,43.50413513183594,506.9203796386719,209.50909423828125,82.77556610107422,118.04769134521484,123.91031646728516,156.21435546875,58.915950775146484,448.0341491699219,374.1650695800781,280.747314453125,277.63409423828125,324.81268310546875,40.61636734008789,178.0584716796875,143.1885223388672,92.99581146240234,67.7923355102539,241.0500030517578,470.0445556640625,29.95924949645996,38.891197204589844,50.81429672241211,107.51000213623047,88.00584411621094,415.94000244140625
2023-06-27,186.6448974609375,212.6720733642578,129.17999267578125,335.3399963378906,43.654666900634766,513.6126708984375,205.91571044921875,83.14803314208984,118.03772735595703,124.853759765625,155.88975524902344,58.79084777832031,459.6515808105469,378.49737548828125,282.8935546875,286.1883239746094,330.71380615234375,41.859886169433594,179.33932495117188,144.5470733642578,92.97653198242188,67.2158203125,250.2100067138672,473.4787292480469,30.17245101928711,39.19779968261719,50.63076400756836,110.38999938964844,88.36302185058594,417.0799865722656
